,Answer,Confidence,Class,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,sum_prediction
68,1000 hours,0.7,0,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.07142857142999999,0.14285714289999998,0.14285714289999998,0.07142857142999999,1.0000000002599998
69,There is no way to know without additional information,0.4,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
70,Infinity ,0.3,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
71,1 hour,0.7,1,0.07692307692,0.1538461538,0.2307692308,0.1538461538,0.1538461538,0.07692307692,0.07692307692,0.07692307692,0.99999999988
72,1000 hours,0.6,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
73,Infinity ,0.6,0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.9999999999999999
74,1000 hours,0.3,0,0.1333333333,0.1333333333,0.2,0.2666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.99999999998
75,Infinity ,0.9,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.2142857143,0.07142857142999999,0.28571428569999996,0.07142857142999999,1.00000000005
76,2000 hours,0.3,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
77,1000 hours,0.1,0,0.07692307692,0.07692307692,0.07692307692,0.2307692308,0.1538461538,0.2307692308,0.07692307692,0.07692307692,1.0
78,Infinity ,0.3,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.5,0.07142857142999999,1.00000000001
79,Infinity ,0.9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.0
80,1 hour,0.6,1,0.16666666670000002,0.08333333333000001,0.25,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,1.0000000000500002
81,1 hour,0.8,1,0.07142857142999999,0.07142857142999999,0.2142857143,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.28571428569999996,1.00000000005
82,Infinity ,0.5,0,0.07692307692,0.07692307692,0.1538461538,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.99999999976
83,Infinity ,0.4,0,0.07142857142999999,0.07142857142999999,0.2142857143,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.2142857143,0.2142857143,1.00000000005
84,Infinity ,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.0
85,Infinity ,0.8,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.5625,0.0625,1.0
86,There is no way to know without additional information,0.8,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.2142857143,1.0000000001899998
87,1000 hours,0.1,0,0.0625,0.125,0.125,0.1875,0.125,0.125,0.125,0.125,1.0
88,1 hour,0.9,1,0.07142857142999999,0.07142857142999999,0.5,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,1.00000000001
89,Infinity ,0.1,0,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.9999999999000002
90,There is no way to know without additional information,0.5,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
91,1000000 hours,0.2,0,0.0625,0.0625,0.125,0.125,0.1875,0.125,0.125,0.1875,1.0
92,There is no way to know without additional information,0.2,0,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.1875,0.25,1.0
93,There is no way to know without additional information,0.6,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
94,Infinity ,0.6,0,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.1538461538,0.2307692308,0.2307692308,1.0
95,1 hour,0.5,1,0.0625,0.0625,0.3125,0.125,0.125,0.125,0.0625,0.125,1.0
96,There is no way to know without additional information,1.0,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.2142857143,0.2142857143,0.2142857143,0.07142857142999999,0.07142857142999999,1.00000000005
97,Infinity ,1.0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.4375,0.125,1.0
98,There is no way to know without additional information,0.8,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.4375,1.0
99,1000 hours,0.3,0,0.0625,0.125,0.125,0.25,0.25,0.0625,0.0625,0.0625,1.0
100,1000 minutes,0.2,0,0.06666666667,0.2,0.06666666667,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.9999999998399999
101,Infinity ,0.4,0,0.07692307692,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.99999999976
102,There is no way to know without additional information,0.3,0,0.06666666667,0.06666666667,0.1333333333,0.1333333333,0.1333333333,0.06666666667,0.2,0.2,0.99999999991
103,There is no way to know without additional information,0.6,0,0.07142857142999999,0.14285714289999998,0.14285714289999998,0.07142857142999999,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.14285714289999998,1.0000000002599998
104,There is no way to know without additional information,0.3,0,0.17647058820000003,0.17647058820000003,0.2352941176,0.05882352941,0.05882352941,0.05882352941,0.1176470588,0.1176470588,0.9999999998300002
105,There is no way to know without additional information,0.6,0,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.11111111109999999,0.9999999999
106,There is no way to know without additional information,0.5,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
107,1000 hours,0.3,0,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.07692307692,0.2307692308,0.07692307692,0.07692307692,0.99999999988
108,There is no way to know without additional information,0.7,0,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.16666666670000002,0.16666666670000002,0.25,1.0000000000500002
109,There is no way to know without additional information,0.5,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.4375,1.0
110,Infinity ,0.8,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
111,Infinity ,0.8,0,0.25,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.25,0.08333333333000001,0.9999999999800002
112,There is no way to know without additional information,1.0,0,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.5333333333,0.99999999999
113,There is no way to know without additional information,0.2,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
114,1000 hours,0.6,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
115,1 hour,0.6,1,0.08333333333000001,0.16666666670000002,0.25,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,1.0000000000500002
116,Infinity ,0.7,0,0.06666666667,0.1333333333,0.1333333333,0.2,0.06666666667,0.06666666667,0.2666666667,0.06666666667,0.99999999998
117,There is no way to know without additional information,0.5,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
118,1 hour,0.8,1,0.0625,0.0625,0.5,0.0625,0.0625,0.0625,0.0625,0.125,1.0
119,1000 hours,0.1,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
120,Infinity ,0.2,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.9999999999999999
121,Infinity ,0.5,0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.9999999999999999
122,There is no way to know without additional information,0.8,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
123,1000 hours,0.5,0,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.1538461538,0.07692307692,0.07692307692,0.1538461538,0.99999999976
124,1 hour,0.6,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
125,There is no way to know without additional information,0.4,0,0.07692307692,0.07692307692,0.2307692308,0.1538461538,0.07692307692,0.07692307692,0.1538461538,0.1538461538,0.99999999988
126,1000 hours,0.2,0,0.0625,0.0625,0.1875,0.25,0.1875,0.125,0.0625,0.0625,1.0
127,1000000 hours,0.2,0,0.08333333333000001,0.16666666670000002,0.08333333333000001,0.16666666670000002,0.08333333333000001,0.25,0.08333333333000001,0.08333333333000001,1.00000000005
128,1 hour,0.4,1,0.06666666667,0.2,0.33333333330000003,0.1333333333,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.99999999995
129,1 hour,1.0,1,0.2666666667,0.06666666667,0.33333333330000003,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,1.00000000002
130,1000 minutes,0.5,0,0.05882352941,0.17647058820000003,0.17647058820000003,0.2941176471,0.1176470588,0.05882352941,0.05882352941,0.05882352941,0.9999999999400001
131,1 hour,0.7,1,0.0625,0.0625,0.3125,0.0625,0.0625,0.0625,0.3125,0.0625,1.0
132,There is no way to know without additional information,1.0,0,0.125,0.1875,0.125,0.125,0.0625,0.125,0.125,0.125,1.0
133,1 hour,0.2,1,0.06666666667,0.06666666667,0.5333333333,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.9999999999899999
134,There is no way to know without additional information,0.8,0,0.05882352941,0.05882352941,0.05882352941,0.1176470588,0.1176470588,0.1176470588,0.2352941176,0.2352941176,0.9999999998299999
135,Infinity ,0.2,0,0.05882352941,0.17647058820000003,0.17647058820000003,0.1176470588,0.05882352941,0.05882352941,0.2941176471,0.05882352941,0.9999999999400001
136,1 hour,0.2,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
137,1000 hours,0.6,0,0.0625,0.125,0.1875,0.1875,0.0625,0.0625,0.1875,0.125,1.0
138,1000 minutes,0.5,0,0.0625,0.25,0.0625,0.1875,0.125,0.125,0.125,0.0625,1.0
139,Infinity ,0.8,0,0.05882352941,0.17647058820000003,0.1176470588,0.1176470588,0.1176470588,0.1176470588,0.1176470588,0.17647058820000003,0.9999999998100001
140,1 hour,0.9,1,0.5333333333,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.9999999999899999
141,There is no way to know without additional information,0.9,0,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.1176470588,0.2941176471,0.2941176471,1.00000000005
142,Infinity ,0.2,0,0.0625,0.0625,0.125,0.1875,0.125,0.1875,0.125,0.125,1.0
143,There is no way to know without additional information,0.7,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.0
144,Infinity ,0.5,0,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.2941176471,0.2941176471,0.1176470588,1.00000000005
145,1 hour,0.3,1,0.14285714289999998,0.14285714289999998,0.2142857143,0.14285714289999998,0.14285714289999998,0.07142857142999999,0.07142857142999999,0.07142857142999999,1.00000000019
146,1 hour,0.7,1,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.28571428569999996,0.28571428569999996,0.9999999999799998
147,There is no way to know without additional information,0.1,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,1.0
148,1 hour,0.1,1,0.0625,0.125,0.25,0.1875,0.125,0.0625,0.0625,0.125,1.0
149,Infinity ,0.8,0,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.25,0.25,0.9999999999800001
150,1 hour,0.5,1,0.16666666670000002,0.16666666670000002,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.16666666670000002,1.0000000001200002
151,1 hour,0.3,1,0.0625,0.125,0.3125,0.0625,0.0625,0.0625,0.125,0.1875,1.0
152,Infinity ,0.7,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
153,1 minute,0.3,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
154,There is no way to know without additional information,0.4,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,1.0
155,There is no way to know without additional information,0.3,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.3125,0.3125,1.0
156,Infinity ,1.0,0,0.125,0.0625,0.375,0.0625,0.0625,0.0625,0.1875,0.0625,1.0
157,There is no way to know without additional information,0.8,0,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.1333333333,0.46666666669999995,1.00000000002
158,1000 minutes,0.7,0,0.08333333333000001,0.08333333333000001,0.16666666670000002,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.16666666670000002,0.16666666670000002,1.0000000001200002
159,1000 hours,0.3,0,0.08333333333000001,0.08333333333000001,0.16666666670000002,0.25,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,1.00000000005
160,1000 hours,0.5,0,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.9999999999000002
161,There is no way to know without additional information,0.2,0,0.0625,0.125,0.125,0.125,0.0625,0.0625,0.125,0.3125,1.0
162,Infinity ,0.5,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.375,1.0
163,There is no way to know without additional information,0.9,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.5625,1.0
164,1 minute,0.6,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
165,Infinity ,0.9,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
166,Infinity ,0.4,0,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.5333333333,0.99999999999
167,1000 minutes,0.7,0,0.09090909091,0.09090909091,0.2727272727,0.09090909091,0.09090909091,0.1818181818,0.09090909091,0.09090909091,0.99999999996
168,1 hour,0.7,1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,1.0
169,There is no way to know without additional information,0.9,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
170,There is no way to know without additional information,1.0,0,0.08333333333000001,0.08333333333000001,0.16666666670000002,0.16666666670000002,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.16666666670000002,1.0000000001200002
171,Infinity ,0.2,0,0.05882352941,0.1176470588,0.1176470588,0.17647058820000003,0.1176470588,0.1176470588,0.17647058820000003,0.1176470588,0.9999999998100002
172,1 minute,0.8,0,0.4117647059,0.2352941176,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.9999999999600001
173,There is no way to know without additional information,0.1,0,0.05882352941,0.1176470588,0.1176470588,0.1176470588,0.1176470588,0.1176470588,0.1176470588,0.2352941176,0.99999999981
174,Infinity ,0.4,0,0.1333333333,0.1333333333,0.2,0.06666666667,0.06666666667,0.06666666667,0.2666666667,0.06666666667,0.99999999998
175,Infinity ,0.1,0,0.07692307692,0.07692307692,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.1538461538,0.1538461538,0.99999999976
176,There is no way to know without additional information,0.3,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.3125,0.3125,1.0
177,2000 hours,0.3,0,0.06666666667,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.9999999997699999
178,There is no way to know without additional information,1.0,0,0.05882352941,0.17647058820000003,0.17647058820000003,0.1176470588,0.1176470588,0.1176470588,0.05882352941,0.17647058820000003,0.9999999998200002
179,1000 hours,0.1,0,0.0625,0.0625,0.125,0.1875,0.1875,0.125,0.125,0.125,1.0
180,2000 hours,0.2,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.2142857143,0.2142857143,0.07142857142999999,0.14285714289999998,0.14285714289999998,1.00000000012
181,1 hour,0.2,1,0.25,0.16666666670000002,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,1.0000000000500002
182,1000000 hours,0.8,0,0.05882352941,0.05882352941,0.17647058820000003,0.05882352941,0.1176470588,0.2352941176,0.17647058820000003,0.1176470588,0.9999999998300001
183,There is no way to know without additional information,0.4,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
184,2000 hours,0.3,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
185,1 hour,0.4,1,0.09090909091,0.09090909091,0.1818181818,0.09090909091,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0.99999999995
186,Infinity ,0.3,0,0.06666666667,0.06666666667,0.06666666667,0.1333333333,0.1333333333,0.1333333333,0.2,0.2,0.99999999991
187,1 hour,0.2,1,0.08333333333000001,0.08333333333000001,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.25,0.16666666670000002,1.0000000000500002
188,2000 hours,0.3,0,0.07142857142999999,0.07142857142999999,0.2142857143,0.14285714289999998,0.28571428569999996,0.07142857142999999,0.07142857142999999,0.07142857142999999,1.00000000005
189,There is no way to know without additional information,0.7,0,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.14285714289999998,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.28571428569999996,1.00000000012
190,There is no way to know without additional information,0.9,0,0.06666666667,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.1333333333,0.9999999997699999
191,1 hour,0.3,1,0.0625,0.125,0.3125,0.1875,0.125,0.0625,0.0625,0.0625,1.0
